"","user_id","condition","total_trials","risk","gain","no_effect","experimental_treatment_selected","key_press","rt","ratio","batch","trial_index","risk_c","gain_c","Intercept","Risk_Beta","Gain_Beta","Interaction_Beta","Risk_sig","Gain_sig","Interaction_sig"
"76","19x3QrYn","Language (spoken)",75,65,30,5,"Yes to treatment",77,646.025000140071,0.461538461538462,1,"1",16,2.86666666666667,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"77","19x3QrYn","Language (spoken)",75,70,10,20,"Yes to treatment",77,17765.2549995109,0.142857142857143,1,"2",21,-17.1333333333333,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"78","19x3QrYn","Language (spoken)",75,65,15,20,"Yes to treatment",90,586.544999852777,0.230769230769231,1,"3",16,-12.1333333333333,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"79","19x3QrYn","Language (spoken)",75,10,70,20,"Yes to treatment",77,8342.75499917567,7,1,"4",-39,42.8666666666667,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"80","19x3QrYn","Language (spoken)",75,65,15,20,"Yes to treatment",77,16854.3999996036,0.230769230769231,1,"5",16,-12.1333333333333,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"81","19x3QrYn","Language (spoken)",75,40,25,35,"Yes to treatment",77,957.750000059605,0.625,1,"6",-9,-2.13333333333333,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"82","19x3QrYn","Language (spoken)",75,15,45,40,"Yes to treatment",90,1330.04000037909,3,1,"7",-34,17.8666666666667,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"83","19x3QrYn","Language (spoken)",75,40,55,5,"Yes to treatment",90,614.684999920428,1.375,1,"8",-9,27.8666666666667,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"84","19x3QrYn","Language (spoken)",75,30,15,55,"Yes to treatment",90,649.524999782443,0.5,1,"9",-19,-12.1333333333333,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"85","19x3QrYn","Language (spoken)",75,20,65,15,"Yes to treatment",90,586.63500007242,3.25,1,"10",-29,37.8666666666667,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
"86","19x3QrYn","Language (spoken)",75,15,15,70,"No to treatment",77,1978.11000049114,1,1,"11",-34,-12.1333333333333,472.906120077417,1.17205524347866,1.26685669412271,1.00595293247878,1,1,1
